"","X","County.FIPS","County.Name","County.ID","Total.Pop","No..Poverty","Median.Income","No..Spanish","No..LES","No..Own.Computers","No..Only.Smartphone","No..No.Computer","Total.No..Workers","Less.than.10.Min.x","X10.14.Min","X15.19.Min","X20.24.Min","X25.29.Min","X30.34.Min","X35.44.Min","X45.59.Min","X60...Min","No..Public.Trans","Less.than.10.Min.y","X10.14.Min.PT","X15.19.Min.PT","X20.24.Min.PT","X25.29.Min.PT","X30.34.Min.PT","X35.44.Min.PT","X45.49.Min.PT","X60...Min.PT","No.Vehicles","One.Vehicle","Two.Vehicles","Three...Vehicles","No..Non.Citizen","No..No.Internet"
"41",41,36081,"Queens ",81,2301139,2275823,57720,180359,55595,675340,52351,86479,1050626,32358,53667,70156,90827,34629,183175,112349,171070,302395,562857,1893,3087,9790,23307,12777,86334,70473,115961,239235,328734,407038,239229,99513,494915,120818
"42",42,36083,"Rensselaer ",83,159900,154165,60709,2164,301,56322,4081,6494,75873,9426,10300,13259,13671,6490,10202,5376,4319,2830,1757,30,63,133,66,61,441,193,315,455,3573,16066,33719,23896,3456,8188
"43",43,36085,"Richmond ",85,472481,466740,73197,19458,3333,142650,5206,21639,201084,11258,15954,22573,21186,6262,23961,12533,20920,66437,61319,436,520,1286,2116,557,4865,1856,7598,42085,17593,59214,81314,47137,35469,27080
"44",44,36087,"Rockland ",87,320688,315877,84855,12904,3195,86360,3112,12897,135827,16849,19264,18190,16376,6656,14699,9249,12121,22423,12292,239,519,574,609,180,1270,405,1041,7455,9002,25319,60042,47230,29147,17950
"45",45,36091,"St. Lawrence ",89,112011,100276,44705,692,74,34816,1445,5663,41632,11313,7118,5659,4896,2360,3562,2061,2520,2143,188,87,3,25,19,0,10,3,6,35,2149,9672,18980,10962,2461,6683
"46",46,36093,"Saratoga ",91,223774,219431,71496,2154,86,86255,3037,7448,107029,12068,13954,15435,17515,8838,16079,10020,8346,4774,969,20,17,40,72,36,181,48,253,302,1888,21233,54327,34887,5361,8672
"47",47,36095,"Schenectady ",93,154796,150825,58114,2430,673,44292,2253,4428,70089,9945,11246,10449,10537,5116,11608,4989,3559,2640,2909,42,81,263,162,88,633,219,432,989,3248,17471,30902,20100,5444,5645
"48",48,36097,"Schoharie ",95,31913,30498,51195,237,6,0,0,0,13159,2375,1469,1746,1278,515,1080,1133,2002,1561,200,0,0,5,12,0,18,10,27,128,365,2338,5666,4864,267,0
"49",49,36099,"Schuyler ",97,18410,17918,47680,114,10,0,0,0,7707,1448,897,894,709,647,1278,838,590,406,65,0,0,0,16,0,18,14,5,12,268,1377,3400,2936,128,0
"50",50,36089,"Seneca ",99,35144,32141,49292,350,20,0,0,0,14524,3200,2218,2209,1699,949,1468,820,907,1054,79,0,0,13,0,0,28,0,21,17,416,2722,7219,4664,229,0
"51",51,36101,"Steuben ",101,98665,97232,47280,693,25,33632,2358,4826,40870,9613,7161,5019,5651,2549,4248,2010,2148,2471,284,11,16,18,36,3,21,60,54,65,1654,9535,18294,12615,1171,6352
"52",52,36103,"Suffolk ",103,1501373,1471614,88663,58100,13563,437279,14444,37032,695975,73140,88998,95249,97972,38758,97883,45447,54621,103907,47169,1068,786,1448,1274,586,2237,1006,1752,37012,16280,96928,287871,316021,112082,45741
"53",53,36105,"Sullivan ",105,76330,73441,50710,2576,767,20937,824,4094,29537,4716,4173,4081,4064,1838,3430,1536,1589,4110,624,33,16,58,18,0,36,10,39,414,1834,7530,12049,9145,3562,4195
"54",54,36107,"Tioga ",107,50199,49761,57514,309,37,0,0,0,22720,3748,3008,3116,3748,1906,2861,1671,1810,852,124,18,2,0,3,5,23,43,28,2,618,3419,10958,8465,278,0
"55",55,36109,"Tompkins ",109,103855,90268,52624,1012,7,35522,903,2161,44992,8586,8399,9334,8537,2909,3435,987,1475,1330,2994,14,314,632,607,226,565,155,326,155,2477,12734,18784,10463,9177,2847
"56",56,36111,"Ulster ",111,181300,173521,58918,4190,563,62237,3966,6061,78196,11368,11238,10747,10435,4986,9979,5611,5978,7854,1981,40,112,110,59,52,242,147,213,1006,2275,16606,36540,26214,6480,7640
"57",57,36113,"Warren ",113,65180,64243,56798,663,67,25584,919,3257,29984,5844,5820,5035,3390,1413,3347,1275,1501,2359,318,0,20,12,23,0,139,0,24,100,1152,6719,14388,8851,959,4489
"58",58,36115,"Washington ",115,62700,59387,51143,385,53,0,0,0,26500,4661,3511,3225,3492,1733,3156,2344,2153,2225,240,38,0,0,45,0,58,23,0,76,794,5465,12418,9203,550,0
"59",59,36117,"Wayne ",117,92416,91184,50798,998,142,34116,1582,3380,40842,6937,4842,4999,5239,3811,5894,4012,3285,1823,283,110,0,0,3,73,36,12,2,47,1013,7126,18693,15065,723,5182
"60",60,36119,"Westchester ",119,967315,943130,83958,63909,16089,311537,15400,30679,431852,44217,46743,54380,51448,21030,56767,30920,41496,84851,98927,453,1164,2431,3362,1341,8247,7087,17257,57585,39011,116704,178750,115938,122134,37429
"61",61,36121,"Wyoming ",121,41446,37537,52564,292,12,0,0,0,17675,3942,2093,1991,2134,945,1873,1349,1798,1550,67,0,0,7,11,2,11,0,15,21,433,3639,8019,6030,417,0
"62",62,36123,"Yates ",123,25187,23970,49510,179,15,0,0,0,10263,2709,1425,1371,1248,439,962,594,681,834,32,0,18,0,4,4,0,2,0,4,1241,2035,4469,2959,297,0
